Case ID,Cluster,ICS Score
2008-P-0809,3,1424.92781075
2008-P-0810,3,1417.58803465
2008-P-0811,3,1410.66789735
2008-P-0818,2,955.360381949
2008-P-0082,2,890.06739945
2008-P-0820,3,1373.93094989
2008-P-0822,3,1427.38660817
2008-P-0823,3,1415.27494702
2008-P-0826,3,1385.12975629
2008-P-0827,2,913.679276916
2008-P-0828,3,1383.58753741
2008-P-0831,2,923.717860669
2008-P-0833,3,1423.53513074
2008-P-0835,2,931.74298294
2008-P-0836,3,1393.4123977
2008-P-0837,3,1392.52250877
2008-P-0838,3,1429.49670072
2008-P-0840,2,955.813780342
2008-P-0841,3,1394.65763896
2008-P-0843,3,1352.01507098
2008-P-0846,2,950.50494998
2008-P-0850,3,1379.27401549
2008-P-0851,3,1423.25430035
2008-P-0854,3,1415.2692101
2008-P-0857,3,1359.50028133
2008-P-0863,3,1382.00291543
2008-P-0865,3,1399.24302091
2008-P-0868,3,1127.94341285
2008-P-0874,3,1432.70908101
2008-P-0875,3,1345.13069467
2008-P-0876,2,947.679430575
2008-P-0088,3,1397.9796863
2008-P-0880,3,1393.01046536
2008-P-0881,3,1387.71486982
2008-P-0882,3,1402.86945807
2008-P-0891,3,1410.09758747
2008-P-0892,3,1414.83669698
2008-P-0893,3,1403.39262
2008-P-0894,3,1393.40210657
2008-P-0090,3,1165.4475185
2008-P-0900,3,1351.39796096
2008-P-0902,3,1412.62034131
2008-P-0904,3,1413.54432792
2008-P-0910,3,1352.62353364
2008-P-0912,3,1406.54228395
2008-P-0913,2,948.126972648
2008-P-0914,2,952.383565346
2008-P-0916,2,950.147117186
2008-P-0917,3,1422.04691714
2008-P-0918,3,1426.65330714
2008-P-0092,3,1416.41723239
2008-P-0921,2,947.582150524
2008-P-0922,3,1417.41088231
2008-P-0924,3,1329.08809279
2008-P-0929,3,1409.41843897
2008-P-0931,2,952.775529681
2008-P-0933,3,1335.26575639
2008-P-0934,3,1397.90077403
2008-P-0936,3,1397.61689325
2008-P-0938,3,1409.8148121
2008-P-0942,2,883.160214388
2008-P-0943,3,1175.11359355
2008-P-0944,3,1352.53107864
2008-P-0945,3,1399.13249474
2008-P-0095,3,1343.18255035
2008-P-0952,3,1384.02365002
2008-P-0955,2,939.583722141
2008-P-0959,3,1427.017424
2008-P-0966,3,1403.99037689
2008-P-0967,2,947.286718967
2008-P-0968,3,1390.87148788
2008-P-0969,3,1412.31594263
2008-P-0970,3,1387.35263652
2008-P-0976,2,888.100857579
2008-P-0982,3,1367.41176027
2008-P-0983,3,1422.4292683
2008-P-0984,3,1216.21326928
2008-P-0985,3,1421.31886834
2008-P-0986,2,967.103761566
2008-P-0988,3,1419.1460533
2008-P-0991,3,1368.85531567
2008-P-0993,3,1422.55851932
2008-P-0994,2,943.52822556
2008-P-0995,3,1405.84077624
2008-P-0998,3,1399.06259885
2008-P-0999,3,1139.33754394
2009-P-1000,2,920.433122484
2009-P-1001,2,958.77607616
2009-P-1002,3,1435.40571227
2009-P-1004,3,1341.86802938
2009-P-1005,3,1288.7132567
2009-P-1006,3,1264.87570663
2009-P-1008,3,1421.81530166
2009-P-1009,3,1422.47486464
2009-P-0101,2,961.349551071
2009-P-1010,3,1427.33727287
2009-P-1011,3,1420.53616908
2009-P-1014,2,962.465437866
2009-P-1015,2,961.158610708
2009-P-1016,3,1352.99468078
2009-P-1018,3,1402.64660606
2009-P-1019,3,1395.14725554
2009-P-1020,2,954.860609019
2009-P-1022,3,1381.53011909
2009-P-1027,2,950.181524414
2009-P-1030,2,915.34969148
2009-P-1032,3,1419.97332948
2009-P-1040,3,1421.84688613
2009-P-1041,3,1427.5749185
2009-P-1043,2,928.82957451
2009-P-1044,3,1410.37605907
2009-P-1046,3,1404.19467626
2009-P-1047,3,1419.0831132
2009-P-1048,3,1399.92539411
2009-P-1056,3,1432.56024045
2009-P-1057,3,1424.14111712
2009-P-1063,3,1425.08923049
2009-P-1064,3,1433.46863467
2009-P-1066,3,1410.42310934
2009-P-1067,2,927.591211859
2009-P-1068,3,1413.5041901
2009-P-0107,3,1420.23426013
2009-P-1070,3,1407.23028935
2009-P-1079,3,1395.58079312
2009-P-1081,3,1414.46535274
2009-P-1082,3,1353.06447624
2009-P-1083,3,1427.8360663
2009-P-0011,3,1144.1471818
2009-P-0110,3,1315.37309211
2009-P-1101,3,1424.88533245
2009-P-1104,2,960.48494181
2009-P-1106,3,1419.93566738
2009-P-1107,3,1393.20682073
2009-P-1108,3,1413.2167208
